score,full,x,mean,low,high
p,1,0.9545109703603986,0.7449616922257928,0.6384131388686201,0.8285456293579697
p,1,0.9610043522730966,0.7477613783591107,0.6412605498584474,0.8309783934766406
p,1,0.9674977341857945,0.7505406429960435,0.6440594592418215,0.8334069778565716
p,1,0.9739911160984925,0.7532994082358129,0.6468106987842297,0.8358303342373075
p,1,0.9804844980111904,0.7560376017614163,0.6495151259694993,0.8382474215896942
p,1,0.9869778799238884,0.7587551567847912,0.6521736202375249,0.840657209225189
p,1,0.9934712618365864,0.7614520119897286,0.6547870793417621,0.8430586797580503
p,1,0.9999646437492844,0.7641281114726272,0.6573564158451055,0.8454508319041223
native_s,0,-8.687499781030056,0.012738526093743789,0.0006152895804488749,0.21285423133777642
native_s,0,-8.555416449155688,0.012911314927260715,0.0006410980004168693,0.21054810465327767
native_s,0,-8.42333311728132,0.01308641628517601,0.0006679748856288783,0.20826364603154307
native_s,0,-8.291249785406954,0.013263860264743868,0.0006959634561592772,0.2060008639343144
native_s,0,-8.159166453532587,0.013443677331667037,0.0007251086033850301,0.20375976393663678
native_s,0,-8.027083121658219,0.013625898323967671,0.000755456948406234,0.2015403488609592
native_s,0,-7.894999789783851,0.013810554455880718,0.0007870569019666383,0.19934261891460817
native_s,0,-7.762916457909483,0.01399767732176936,0.0008199587258587977,0.19716657183074762
native_s,0,-7.6308331260351165,0.01418729890006207,0.0008542145957912133,0.19501220301295785
native_s,0,-7.498749794160749,0.014379451557210739,0.0008898786656867338,0.1928795056835712
native_s,0,-7.366666462286382,0.014574168051669403,0.0009270071333723396,0.19076847103593433
native_s,0,-7.234583130412014,0.014771481537892988,0.0009656583076102878,0.18867908839077088
native_s,0,-7.102499798537647,0.014971425570355544,0.0010058926764092444,0.18661134535684912
native_s,0,-6.970416466663279,0.01517403410758734,0.0010477729765414204,0.18456522799617311
native_s,0,-6.838333134788912,0.01537934151623016,0.0010913642641776416,0.18254072099394264
native_s,0,-6.706249802914544,0.015587382575110269,0.0011367339865367583,0.18053780783354875
native_s,0,-6.5741664710401775,0.015798192479328187,0.001183952054428415,0.17855647097690217
native_s,0,-6.44208313916581,0.016011806844364738,0.001233090915549116,0.17659669205041487
native_s,0,-6.309999807291442,0.01622826171020249,0.0012842256283702262,0.17465845203698838
native_s,0,-6.177916475417074,0.016447593545461898,0.001337433936433112,0.17274173147439803
native_s,0,-6.0458331435427075,0.016669839251551296,0.0013927963428406898,0.17084651066048936
native_s,0,-5.91374981166834,0.016895036166829944,0.0014503961847059728,0.16897276986565213
native_s,0,-5.781666479793973,0.01712322207078319,0.0015103197072866472,0.167120489553066
native_s,0,-5.649583147919605,0.017354435188208887,0.0015726561374997926,0.165289650607271
native_s,0,-5.5174998160452375,0.01758871419341414,0.0016374977564725752,0.16348023457164634
native_s,0,-5.38541648417087,0.017826098214421316,0.0017049399707423436,0.16169222389545093
native_s,0,-5.253333152296503,0.01806662683718238,0.0017750813816731104,0.15992560219112048
native_s,0,-5.121249820422136,0.0183103401098005,0.0018480238526042859,0.15818035450258366
native_s,0,-4.9891664885477685,0.018557278546757743,0.0019238725731911884,0.15645646758542683
native_s,0,-4.857083156673401,0.0188074831331478,0.0020027361203352498,0.15475393019979916
native_s,0,-4.724999824799033,0.019060995328912585,0.0020847265150340023,0.153072733417037
native_s,0,-4.592916492924666,0.019317857073081365,0.002169959274406586,0.15141287094106173
native_s,0,-4.4608331610502985,0.019578110788011333,0.0022585534580691386,0.1497743394456978
native_s,0,-4.328749829175931,0.019841799383628123,0.0023506317079450252,0.1481571389291553
native_s,0,-4.196666497301564,0.020108966261665095,0.0024463202804974136,0.14656127308702427
native_s,0,-4.064583165427196,0.02037965531989988,0.0025457490702645836,0.14498674970524603
native_s,0,-3.9324998335528285,0.02065391095638677,0.002649051623461901,0.1434335810746435
native_s,0,-3.8004165016784617,0.020931778073683446,0.0027563651402866714,0.14190178442873103
native_s,0,-3.668333169804094,0.021213302083070585,0.0028678304644232135,0.14039138240666776
native_s,0,-3.5362498379297262,0.021498528908762582,0.0029835920580939127,0.138902403543369
native_s,0,-3.4041665060553594,0.02178750499210792,0.0031037979608371405,0.13743488278896554
native_s,0,-3.2720831741809917,0.02208027729577741,0.003228599730013796,0.13598886205997576
native_s,0,-3.139999842306624,0.022376893307938493,0.00335815236084959,0.13456439082475416
