question_id,gold_hops,order,starting_mask,added_hop,control_coverage,intervention_coverage,control_likelihood,intervention_likelihood,paired_change,token_change
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0,2,1,0.3333333333333333,0.6666666666666666,0.0953494648991094,0.989013056706549,0.8936635918074396,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0,2,3,0.3333333333333333,0.6666666666666666,0.0953494648991094,0.6926419799624419,0.5972925150633325,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0,3,3,0.6666666666666666,1.0,0.989013056706549,0.999447221350004,0.010434164643454924,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0,4,1,0.3333333333333333,0.6666666666666666,0.2942149690687251,0.9399133482480644,0.6456983791793394,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0,4,2,0.3333333333333333,0.6666666666666666,0.2942149690687251,0.6926419799624419,0.39842701089371685,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0,5,2,0.6666666666666666,1.0,0.9399133482480644,0.999447221350004,0.05953387310193958,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,0,6,1,0.6666666666666666,1.0,0.6926419799624419,0.999447221350004,0.30680524138756204,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,1,0,1,0.0,0.3333333333333333,0.0038244841436036,0.9850429137773312,0.9812184296337276,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,1,0,2,0.0,0.3333333333333333,0.0038244841436036,0.1329642376210142,0.1291397534774106,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,1,0,3,0.0,0.3333333333333333,0.0038244841436036,0.1127954059100937,0.10897092176649009,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,1,1,2,0.3333333333333333,0.6666666666666666,0.9850429137773312,0.9883127407080392,0.0032698269307079864,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,1,1,3,0.3333333333333333,0.6666666666666666,0.9850429137773312,0.986777180015793,0.0017342662384617347,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,1,2,1,0.3333333333333333,0.6666666666666666,0.1329642376210142,0.9883127407080392,0.855348503087025,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,1,2,3,0.3333333333333333,0.6666666666666666,0.1329642376210142,0.6654105554292292,0.532446317808215,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,1,3,3,0.6666666666666666,1.0,0.9883127407080392,0.999808895699156,0.01149615499111678,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,1,4,1,0.3333333333333333,0.6666666666666666,0.1127954059100937,0.986777180015793,0.8739817741056992,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,1,4,2,0.3333333333333333,0.6666666666666666,0.1127954059100937,0.6654105554292292,0.5526151495191355,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,1,5,2,0.6666666666666666,1.0,0.986777180015793,0.999808895699156,0.013031715683363032,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,1,6,1,0.6666666666666666,1.0,0.6654105554292292,0.999808895699156,0.33439834026992676,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,2,0,0,1,0.0,0.5,0.0010322309660492,0.8670357649558007,0.8660035339897515,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,2,0,0,2,0.0,0.5,0.0010322309660492,0.0474258721677897,0.0463936412017405,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,2,0,1,2,0.5,1.0,0.8670357649558007,0.9999251537727354,0.13288938881693468,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,2,0,2,1,0.5,1.0,0.0474258721677897,0.9999251537727354,0.9524992816049457,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,2,1,0,1,0.0,0.5,0.0013250223323324,0.7549149813536518,0.7535899590213193,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,2,1,0,2,0.0,0.5,0.0013250223323324,0.0103281524431492,0.0090031301108168,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,2,1,1,2,0.5,1.0,0.7549149813536518,0.9990889489759888,0.244173967622337,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,2,1,2,1,0.5,1.0,0.0103281524431492,0.9990889489759888,0.9887607965328395,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,2,0,0,1,0.0,0.5,0.0085774839326935,0.9968273177208256,0.988249833788132,-2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,2,0,0,2,0.0,0.5,0.0085774839326935,0.1066906045971184,0.0981131206644249,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,2,0,1,2,0.5,1.0,0.9968273177208256,0.9999724642990496,0.0031451465782240673,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,2,0,2,1,0.5,1.0,0.1066906045971184,0.9999724642990496,0.8932818597019312,-2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,2,1,0,1,0.0,0.5,0.0085774842811684,0.9988304899848937,0.9902530057037252,-2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,2,1,0,2,0.0,0.5,0.0085774842811684,0.0420877265639078,0.0335102422827394,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,2,1,1,2,0.5,1.0,0.9988304899848937,0.9998601779591488,0.0010296879742551779,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,2,1,2,1,0.5,1.0,0.0420877265639078,0.9998601779591488,0.957772451395241,-2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,2,0,0,1,0.0,0.5,0.0035936022337696,0.8354835432479661,0.8318899410141966,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,2,0,0,2,0.0,0.5,0.0035936022337696,0.0179862061457668,0.014392603911997199,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,2,0,1,2,0.5,1.0,0.8354835432479661,0.9992903295273404,0.16380678627937428,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,2,0,2,1,0.5,1.0,0.0179862061457668,0.9992903295273404,0.9813041233815736,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,2,1,0,1,0.0,0.5,0.0021827166562962,0.7772998560157665,0.7751171393594702,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,2,1,0,2,0.0,0.5,0.0021827166562962,0.0600866453350284,0.0579039286787322,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,2,1,1,2,0.5,1.0,0.7772998560157665,0.9978172838457268,0.2205174278299603,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,2,1,2,1,0.5,1.0,0.0600866453350284,0.9978172838457268,0.9377306385106984,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,2,0,0,1,0.0,0.5,0.0075772421958092,0.9465966722716814,0.9390194300758722,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,2,0,0,2,0.0,0.5,0.0075772421958092,0.0203323535652703,0.0127551113694611,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,2,0,1,2,0.5,1.0,0.9465966722716814,0.9988304899823096,0.05223381771062818,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,2,0,2,1,0.5,1.0,0.0203323535652703,0.9988304899823096,0.9784981364170393,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,2,1,0,1,0.0,0.5,0.0031726828726757,0.966914024948248,0.9637413420755723,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,2,1,0,2,0.0,0.5,0.0031726828726757,0.017986208613218,0.0148135257405423,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,2,1,1,2,0.5,1.0,0.966914024948248,0.9959298623907528,0.0290158374425048,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,2,1,2,1,0.5,1.0,0.017986208613218,0.9959298623907528,0.9779436537775348,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,2,0,0,1,0.0,0.5,0.0052201256693771,0.7981867849406659,0.7929666592712887,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,2,0,0,2,0.0,0.5,0.0052201256693771,0.0066928519675502,0.0014727262981731005,-2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,2,0,1,2,0.5,1.0,0.7981867849406659,0.9971990724410924,0.19901228750042654,-2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,2,0,2,1,0.5,1.0,0.0066928519675502,0.9971990724410924,0.9905062204735422,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,2,1,0,1,0.0,0.5,0.0040701378102756,0.9241418116217418,0.9200716738114662,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,2,1,0,2,0.0,0.5,0.0040701378102756,0.0097084780573679,0.0056383402470923,-2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,2,1,1,2,0.5,1.0,0.9241418116217418,0.99867497734509,0.07453316572334823,-2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,2,1,2,1,0.5,1.0,0.0097084780573679,0.99867497734509,0.9889664992877222,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,2,0,0,1,0.0,0.5,0.0062899017599774,0.9850429110055836,0.9787530092456063,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,2,0,0,2,0.0,0.5,0.0062899017599774,0.5312093733737563,0.5249194716137789,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,2,0,1,2,0.5,1.0,0.9850429110055836,0.9996646499690226,0.01462173896343899,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,2,0,2,1,0.5,1.0,0.5312093733737563,0.9996646499690226,0.4684552765952663,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,2,1,0,1,0.0,0.5,0.0109869402625216,0.9950945943386024,0.9841076540760808,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,2,1,0,2,0.0,0.5,0.0109869402625216,0.5156199157230156,0.504632975460494,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,2,1,1,2,0.5,1.0,0.9950945943386024,0.9997834560071438,0.004688861668541433,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,2,1,2,1,0.5,1.0,0.5156199157230156,0.9997834560071438,0.4841635402841282,3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,2,0,0,1,0.0,0.5,0.0052201252752234,0.8519528076067262,0.8467326823315028,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,2,0,0,2,0.0,0.5,0.0052201252752234,0.5,0.4947798747247766,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,2,0,1,2,0.5,1.0,0.8519528076067262,0.9991959142315604,0.1472431066248342,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,2,0,2,1,0.5,1.0,0.5,0.9991959142315604,0.4991959142315604,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,2,1,0,1,0.0,0.5,0.0109869439765486,0.867035771827307,0.8560488278507583,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,2,1,0,2,0.0,0.5,0.0109869439765486,0.5621765008857981,0.5511895569092494,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,2,1,1,2,0.5,1.0,0.867035771827307,0.999447221320338,0.13241144949303107,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,2,1,2,1,0.5,1.0,0.5621765008857981,0.999447221320338,0.43727072043453996,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,2,0,0,1,0.0,0.5,0.651354857898194,0.6224593382055109,-0.028895519692683114,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,2,0,0,2,0.0,0.5,0.651354857898194,0.7310585786300049,0.07970372073181087,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,2,0,1,2,0.5,1.0,0.6224593382055109,0.9999921107383548,0.3775327725328439,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,2,0,2,1,0.5,1.0,0.7310585786300049,0.9999921107383548,0.2689335321083499,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,2,1,0,1,0.0,0.5,0.2689414155105029,0.6791786861878392,0.4102372706773363,-1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,2,1,0,2,0.0,0.5,0.2689414155105029,0.731058584489497,0.46211716897899413,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,2,1,1,2,0.5,1.0,0.6791786861878392,0.999959936307828,0.3207812501199888,2.0
